,fga_per_g,fg3_pct,fg2_pct,efg_pct,ft_pct,tov_per_g,orb_per_g
Domantas Sabonis,-1.0628256648692385,-0.22660923842420355,1.1302052139337662,0.7621017504894098,-1.0282936119459445,-0.2602326559027412,0.7796610169491522
JJ Redick,-0.9157744039856129,1.2492972671518692,-0.6923140458446296,1.3925567643649568,1.604761242885336,-1.24996997015579,-1.4322033898305082
Bojan Bogdanovic,-0.5922616300416366,0.907508392176358,0.18955011211265863,1.0773292574271833,1.0906144369123638,-0.6313841487476344,-1.0635593220338981
Bodgan Bogdanovic,-0.3863898648045612,0.5967912331077108,-0.5453366861850816,0.23672257225978718,0.280443712348894,-0.6313841487476344,-1.0635593220338981
Luka Doncic,1.6429175353894692,-0.22660923842420355,0.9832278542742181,-0.04347965612934486,-0.7945905183218662,2.0903934654482503,-0.20338983050847467
Nikola Jokic,-0.12169759521403534,0.037500346784146606,2.041464843822961,1.5676831571081644,0.5920478371809966,0.4820703297870457,1.5169491525423726
Kristaps Porzingis,0.7017894657342667,0.348217505852793,-1.0450597090275449,-0.8490610627480994,0.23370309362407832,-0.5076669844660034,0.41101694915254217
Nikola Vucevic,0.3488664396135659,-0.009107227076150482,0.30713199984029704,-0.008454377580703352,-0.6543686621474193,-0.5076669844660034,1.6398305084745761
Jusuf Nurkic,-0.9451846561623379,-3.722177277946482,-0.2513819668659855,-0.8490610627480994,-1.7917237177845986,-0.012798327339478697,1.394067796610169
Dario Saric,-0.8275436474554375,0.348217505852793,-0.16319555107025668,0.02657090096793815,0.7634301058386541,-0.5076669844660034,0.28813559322033894
Russell Westbrook,1.7605585440963702,-0.4751829656791214,-1.103850652891364,-1.7246930264641351,0.17138226865765743,2.4615449582931435,0.41101694915254217
Demar Derozan,0.8488407266178921,-0.8325076986080657,-0.8980823493679969,-1.584591912269571,0.6387884559058123,-0.012798327339478697,-0.8177966101694915
Blake Griffen,1.025302239678243,-0.040178942983015206,0.4247138875679355,0.061596179516579655,-1.4645393867108907,0.6057874940686769,1.0254237288135593
Zach Lavine,0.4370971961437414,0.6123270910611431,-0.66291857391272,-0.18358077032391087,0.48298639348976014,0.4820703297870457,-1.0635593220338981
Aaron Gordon,-0.6216718822183621,-0.2576809543310683,0.0719682243850202,-0.6038841129076089,-1.3554779430196542,-0.8788184773108968,0.28813559322033894
Marc Gasol,-0.44521036915801115,0.28607407403906354,-0.2513819668659855,-0.4988082772616844,-0.17138226865765743,-0.13651549162110993,0.28813559322033894
Jrue Holiday,0.29004593526011596,0.28607407403906354,-0.5453366861850816,-0.5688588343589674,-0.17138226865765743,0.8532218226319389,-0.5720338983050847
Derick Jones Jr.,-2.2980562562916917,-0.8325076986080657,2.9821199456440683,1.2874809287190323,-1.5268602116773116,-1.992272955845577,-0.0805084745762712
Chris Paul,0.26063568308339047,0.5346478012939814,0.013177280521200973,0.13164673661386267,1.2775769118116265,0.35835316550541446,-0.8177966101694915
John Wall,0.9076612309713427,-0.18000166456390648,-1.4565963160742779,-1.8998194192073428,-0.10906144369123655,2.0903934654482503,-0.9406779661016949
Joe Ingles,-1.8274922214640905,1.109474545570978,0.21894558404456824,2.0230117782405,-0.5764676309393931,-0.6313841487476344,-1.3093220338983047
Danilo Gallinari,-0.3863898648045612,0.690006380828305,-1.221432540619001,-0.11353021322662786,1.324317530536442,-1.0025356415925277,-0.8177966101694915
Jonas Valanciunas,-1.1804666735761382,0.3016099319924959,1.9238829560953223,1.882910664045934,-0.10906144369123655,-0.7551013130292656,1.5169491525423726
Pau Gasol,-0.004056586507134894,0.5035760853871166,0.160154640180749,-0.11353021322662786,-0.5453072184561827,0.11091883694215254,1.394067796610169
Tony Parker,-0.06287709086058538,-0.18000166456390648,0.1013636963169298,-0.2886566059698354,-0.5764676309393931,0.23463600122378325,-1.1864406779661014
Dirk Nowitzky,0.8194304744411671,0.690006380828305,-0.31017291072980474,-0.14855549177526936,1.4177987679860733,-0.6313841487476344,-0.4491525423728813
Tim Duncan,0.5253279526739163,-2.4327010678115975,0.0719682243850202,-0.3236818845184769,-1.4333789742276803,0.35835316550541446,1.762711864406779
Kobe Bryant,1.9664303093334456,-0.10232237479674466,-0.8098959335722681,-1.1993138482345145,0.7634301058386541,1.1006561511952013,-0.3262711864406779
Peja Stojakovic,0.14299467437649052,1.0162593978503847,-0.66291857391272,0.5519500791975607,1.6670820678517568,-0.8788184773108968,-0.5720338983050847
